"","player_name","new_club","price_pounds","new_league"
"164","Giovanni Simeone","Fiorentina","13700000","Serie A"
"165","Francesco Migliore","Genoa"," ","Serie A"
"166","Ricardo Centurión","Genoa","3000000","Serie A"
"167","Umar Sadiq","Torino"," ","Serie A"
"168","Germán Pezzella","Fiorentina"," ","Serie A"
"169","Luca Rossettini","Genoa","1800000","Serie A"
"170","Rodrigo Palacio","Bologna"," ","Serie A"
"171","Batuhan Altintas","Malatyaspor"," ","Serie A"
"172","Marco Borriello","SPAL"," ","Serie A"
"173","Bartosz Salamon","SPAL"," ","Serie A"
"174","Martín Cáceres","Verona"," ","Serie A"
"175","João Cancelo","Inter","32000000","Serie A"
"176","Nikola Kalinić","Milan"," ","Serie A"
"177","Federico Bonazzoli","SPAL"," ","Serie A"
"178","Gregory van der Wiel","Cagliari"," ","Serie A"
"179","Joachim Andersen","Sampdoria","1850000","Serie A"
"180","Vincent Laurini","Fiorentina","332000","Serie A"
"181","Petar Brlek","Genoa","2000000","Serie A"
"182","Rogerio","Sassuolo"," ","Serie A"
"183","Jens Stryger Larsen","Udinese"," ","Serie A"
"184","Ledian Memushaj","Benevento"," ","Serie A"
"185","Patrik Schick","Roma","4600000","Serie A"
"186","Lorenzo Bertini","Atalanta"," ","Serie A"
"187","Luca Vido","Atalanta"," ","Serie A"
"188","Alberto Grassi","Napoli"," ","Serie A"
"189","Anthony Mounier","Bologna"," ","Serie A"
"190","Alessandro Bastoni","Inter","8300000","Serie A"
"191","Benedikt Höwedes","Juventus"," ","Serie A"
"192","Alberto Brignoli","Benevento"," ","Serie A"
"193","Andrew Gravillon","Benevento","1350000","Serie A"
"194","Alessio Cragno","Cagliari"," ","Serie A"
"195","Ricardo Bagadur","Fiorentina"," ","Serie A"
"196","Lorenzo Venuti","Fiorentina"," ","Serie A"
"197","Marko Pajac","Cagliari"," ","Serie A"
"198","Filippo Falco","Bologna"," ","Serie A"
"199","Cyril Thereau","Fiorentina","1380000","Serie A"
"200","Alessandro Bastoni","Atalanta"," ","Serie A"
"201","César Falletti","Bologna"," ","Serie A"
"202","Felipe Avenatti","Bologna"," ","Serie A"
"203","Federico Viviani","Verona"," ","Serie A"
"204","Umar Sadiq","Roma"," ","Serie A"
"205","Leonardo Pavoletti","Cagliari"," ","Serie A"
"206","Gabriel","Milan"," ","Serie A"
"207","Panagiotis Tachtsidis","Torino"," ","Serie A"
"208","Rodrigo Guth","Atalanta","645000","Serie A"
